question,document
"I just found this course late — can I still join now, or is it too late?",74eb249bbf
"If I enroll after the course started, am I still eligible to get a certificate?",74eb249bbf
What do I need to do to qualify for a certificate if I’m joining late?,74eb249bbf
Is there a deadline for project submission if I want the certificate?,74eb249bbf
"Can I still take the course now, and will a late start affect certification?",74eb249bbf
I signed up for the LLM Zoomcamp — when should I expect the confirmation email to arrive?,977bf7786c
Do I need to wait for an acceptance email before I start the LLM Zoomcamp material?,977bf7786c
Is registration required to begin watching lessons and sending homework in the course?,977bf7786c
Will my homework be checked against a list of people who registered for LLM Zoomcamp?,977bf7786c
What is the point of registration if I can already start the course and submit homework?,977bf7786c
How do students join the office hours or live workshop sessions if the Zoom link isn't shared with us?,489dd1c9d9
Where exactly do I find the YouTube Live stream for office hours or workshop sessions?,489dd1c9d9
"If the Zoom link is private, what should I use to ask questions during the live session?",489dd1c9d9
Will the stream link for office hours be posted somewhere before the session starts?,489dd1c9d9
"Should I put my questions in the chat during live sessions, or is there a better way to ask them?",489dd1c9d9
"Where do I begin if I just joined the LLM Zoomcamp, and what should I look at first?",04919992b3
"Can I start the course anytime, or is there a fixed start date I need to follow?",04919992b3
What’s the usual way to go through each week of the course and keep up with the homework?,04919992b3
"Do I need to use the videos, notebooks, and GitHub repo in a specific order, or can I mix them?",04919992b3
"How are the homework tasks related to the lesson materials, and where do I submit them before the deadline?",04919992b3
I can’t find myself on the leaderboard — is there a way to jump straight to my entry?,c2903069a0
How do I check what name I’m shown with on the leaderboard?,c2903069a0
"Why does my account have a random name like ""Lucid Elbakyan"" instead of my real one?",c2903069a0
Can I change the nickname that appears publicly on the course leaderboard?,c2903069a0
What do I need to update if I want my certificate to show my real name instead of the default name?,c2903069a0
"Can I take this course at my own pace and still get the certificate, or is that not allowed?",69d122f12e
"If I finish everything self-paced, do I still get a certificate at the end?",69d122f12e
Why don’t you give certificates for people who do the course without joining the live cohort?,69d122f12e
Do I have to be in the live run of the course to qualify for a certificate?,69d122f12e
"Is the certificate only available when the course is running live, or can I earn it later from the self-paced version?",69d122f12e
Can I still get the certificate if I missed the first homework?,9f689c185f
Do I have to do all the homework to receive the course certificate?,9f689c185f
What do I actually need to pass in order to get the certificate?,9f689c185f
"Is homework required for certification, or is it just for practice?",9f689c185f
"If I skip some homework, will I still be able to earn the certificate?",9f689c185f
Why does the homework keep changing while I'm trying to work on it?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework assignment is actually ready to do?,96286b4be4
Is it safe to start the homework before the final version is out?,96286b4be4
Why do the homework instructions or files sometimes get updated after they already appear?,96286b4be4
When is the next time this course will run?,bd31146b0e
Do you know when the course is offered again?,bd31146b0e
Is there a planned start for the next session of the course?,bd31146b0e
When can I expect the next offering of this course?,bd31146b0e
What term will the course be available next?,bd31146b0e
Where can I find the course lectures/videos for LLM Zoomcamp?,31456f4b5f
Is there a main place I should check first for the lesson videos?,31456f4b5f
I can’t find the videos—are they in the GitHub repo or somewhere else?,31456f4b5f
