question,answer_agent,answer_orig,tool_calls,cost,document
"I just found this course late — can I still join now, or is it too late?","Yes — you can still join the course late. However, if you want to receive a certificate, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late enrollment join course too late can I still join now""}'}]",0.0009255,74eb249bbf
"If I enroll after the course started, am I still eligible to get a certificate?","Yes — you can still join after the course has started, but to be eligible for a certificate you must submit your project while submissions are still open. Certificates are only awarded for completing the course with the live cohort, not in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""enroll after course started certificate eligibility""}'}]",0.0010155,74eb249bbf
What do I need to do to qualify for a certificate if I’m joining late?,"If you’re joining late, you can still qualify for a certificate, but you must **submit your project while the course is still accepting submissions**.

Key point:
- **Homework is not required** for the certificate.
- The **Capstone project is required**.
- Certificates are only awarded for the **live cohort**, not self-paced participation.

So the main thing is to make sure you complete and submit the Capstone before the submission window closes.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join late certificate qualify late joining certificate requirements""}'}]",0.00120975,74eb249bbf
Is there a deadline for project submission if I want the certificate?,"Yes — for the certificate, the key requirement is to **pass the Capstone project**. Homework deadlines don’t affect the certificate.

A few notes:
- **No individual deadline extensions** are given.
- You can submit **as long as the submission form is still open**, even if the listed deadline has passed.
- Once the form is closed, **late submissions aren’t accepted**.

If you want, I can also summarize exactly what you need to do to earn the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""deadline project submission certificate""}'}]",0.00113775,74eb249bbf
"Can I still take the course now, and will a late start affect certification?","Yes — you can still start the course now.

A late start by itself does not prevent you from getting a certificate. The key point is that **to receive a certificate, you need to submit your project while submissions are still being accepted**.

Also, homework is **not mandatory for certification**; the FAQ says the certificate depends on **passing the Capstone project**. Homework mainly affects leaderboard rank.

If you want, I can also summarize the best way to catch up quickly.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late start certification can I still take the course now late start affect certification""}'}]",0.0013155,74eb249bbf
I signed up for the LLM Zoomcamp — when should I expect the confirmation email to arrive?,"You don’t need to wait for a confirmation email — you’re accepted.

You can start learning and even submit homework while the form is open, and registration is just used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp confirmation email when should I expect it arrive signup""}'}]",0.00111075,977bf7786c
Do I need to wait for an acceptance email before I start the LLM Zoomcamp material?,"No—you don’t need to wait for an acceptance email. The FAQ says:

- “You’re accepted.”
- You can start learning and submitting homework while the form is open.
- Registration is just to gauge interest, and it’s not checked against a registered list.

So you can start the LLM Zoomcamp material right away.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""acceptance email start LLM Zoomcamp material wait acceptance email""}'}]",0.0013860,977bf7786c
Is registration required to begin watching lessons and sending homework in the course?,"No. You can start watching the lessons and submit homework without registering.

Registration is only used to gauge interest, and homework submission is not checked against a registered list, as long as the homework form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration required begin watching lessons sending homework course""}'}]",0.00114225,977bf7786c
Will my homework be checked against a list of people who registered for LLM Zoomcamp?,"No. Homework is **not checked against a registered list** for LLM Zoomcamp.

You can start learning and submitting homework while the form is open **even if you didn’t register**. Registration is only used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""homework checked against list of people who registered for LLM Zoomcamp registration homework eligibility""}'}]",0.0012225,977bf7786c
What is the point of registration if I can already start the course and submit homework?,"Registration is mostly to gauge interest before the course starts. You can already begin learning and submit homework without registering, as long as the submission form is open.

So in short:
- Registration is **not required** to participate
- It’s mainly for **tracking interest**
- Homework can still be submitted while the form is open, whether or not you registered

",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""point of registration if I can already start the course and submit homework""}'}]",0.0012780,977bf7786c
How do students join the office hours or live workshop sessions if the Zoom link isn't shared with us?,"The Zoom link is only shared with instructors, presenters, and TAs.

As a student, you join the session via:
- **YouTube Live** for watching
- **Slido** for asking questions during the session

The live video link is usually posted in the **announcements channel on Telegram and Slack** before the session starts, and you can also watch on the **DataTalksClub YouTube channel**.

Don’t rely on chat for questions, since they may get missed in a busy room.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""office hours live workshop Zoom link students join not shared FAQ""}'}]",0.00139125,489dd1c9d9
Where exactly do I find the YouTube Live stream for office hours or workshop sessions?,"For office hours or workshop/live sessions, students usually **watch on the DataTalksClub YouTube Channel**. The **video URL is also posted in the announcements channel on Telegram and Slack before the session starts**.

A few important notes:
- The **Zoom link is only for instructors/presenters/TAs**.
- Students should join via **YouTube Live**.
- The **Slido link** is pinned in the chat when the session is live.

If you want, I can also point you to the exact announcements links mentioned in the FAQ.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""YouTube Live stream office hours workshop sessions where to find""}'}]",0.0014685,489dd1c9d9
"If the Zoom link is private, what should I use to ask questions during the live session?","If the Zoom link is private, students should **not use the Zoom chat**. Instead, ask questions via **Slido** — the link is pinned in the chat when the session is live.

If needed, you can also follow the course announcements on **Telegram/Slack** for the live session link.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""private Zoom link ask questions during live session use Piazza Ed discussion forum FAQ""}'}]",0.001194,489dd1c9d9
